Sum of EPEST_HIGH_KG,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,"2,4-D",ACEPHATE,ACETAMIPRID,ACETOCHLOR,ATRAZINE,AZOXYSTROBIN,BENTAZONE,BENZOVINDIFLUPYR,BOSCALID,BROMACIL,BROMOXYNIL,CARBARYL,CHLORANTRANILIPROLE,CHLORIMURON,CHLORPYRIFOS,CLOTHIANIDIN,CYANTRANILIPROLE,CYPRODINIL,DIAZINON,DICAMBA,DICROTOPHOS,DIFLUBENZURON,DIMETHENAMID,DIMETHENAMID & DIMETHENAMID-P,DIMETHENAMID-P,DIMETHOATE,DIMETHOMORPH,DINOTEFURAN,DIURON,ETHOPROPHOS,ETOXAZOLE,FIPRONIL,FLUOMETURON,FLUOPICOLIDE,GLYPHOSATE,HALOSULFURON,HEXAZINONE,IMAZETHAPYR,IMIDACLOPRID,LINURON,MALATHION,METALAXYL,METCONAZOLE,METHOMYL,METHOXYFENOZIDE,METOLACHLOR,METOLACHLOR & METOLACHLOR-S,METOLACHLOR-S,METRIBUZIN,MYCLOBUTANIL,ORYZALIN,PERMETHRIN,PIPERONYL BUTOXIDE,PROPAZINE,PROPICONAZOLE,PYRACLOSTROBIN,PYRIMETHANIL,SIMAZINE,SULFENTRAZONE,SULFOXAFLOR,TEBUCONAZOLE,TEBUPIRIMPHOS,TEBUTHIURON,TERBUFOS,TETRACONAZOLE,THIAMETHOXAM,THIOBENCARB,TRICLOPYR,TRIFLOXYSTROBIN,Grand Total
101,291449.6,16503.5,785.9,305685.8,385940.8,13818.3,7696.1,1436.9,1678.3,151.6,40774.8,2811.3,2055.4,705.7,24153.5,110.3,120.1,1929.1,4079.4,164339.1,2138.3,487.8,14400.5,57607,43206.6,3880.3,70.3,48.8,4457,,107,21.4,253.2,66,1607676.2,730.3,4929.3,2234.5,3957.1,1970.3,808.4,0.8,1794.4,873.6,2770.1,69091,336477.4,267386.6,18866.9,63.6,1189.5,3368.9,130.4,1309.2,14975.4,12136.4,687,22217.5,22588.5,122.7,7066,771.8,2.5,6538.4,1696.4,898.7,57424.9,14277.8,5035.2,3885037.4
102,5894.3,,,3566.2,5813.2,30.7,108.9,17.7,,,147.1,235.5,,,781.2,,,,,1506.6,,,,310.8,310.8,,,,,,,,,,14176.7,0.7,,0.4,,,,,9.5,,,1065.9,2868,1802.1,18.8,,,,,,45.8,32.6,,,340.3,,53.3,13.7,,,,,,55,41.9,39247.7
103,193021.2,41968.9,515.8,263105.8,343225.7,8199,12429.2,978.6,1673.9,251.8,4162.6,2728,1349.3,545.8,29317.5,163.8,133.4,1244,78.9,124445.9,4112.4,480.8,11994.1,66218.1,54224,1178.1,0.6,46.2,4062.7,,161,,6416,6,1130435,266.6,1000.3,3807.4,3853.6,1577.8,1361.6,30.1,1448.4,3154.2,2004.5,51601.5,283987.2,232386,12615,64.2,855.8,3020.1,0,67.8,8792.1,9315.1,402.2,12752,16359.1,341.3,8935.2,1461.2,1.1,6412.5,579.9,1290.3,,3641.5,3243.7,2985503.4
105,311700.6,19026.1,176.9,286966.4,287789.8,7429,11683.8,893,14938.3,4432.2,59403,3796.9,554.1,481.4,39202.1,77.9,1636.5,571.1,266.6,115311,413.6,1510.3,14622.8,53107.9,38485.1,2023.3,4.5,51.5,18920.4,,23.3,0.1,523.3,18.5,1390269.6,663.6,8354.6,2363,4021.4,2052,1906.2,26.4,2626.2,846.3,3249.6,54972.6,314979.6,260007,20860.8,50.3,1129.3,3233.6,,544.9,20378.8,14134,582.7,23001,23780.2,111.2,6391.7,1553.8,47.7,5664.1,976.6,1642.5,203.1,7455,6192.3,3480313
107,272871.6,135859.1,2925.5,397597.3,591823.3,23407.6,7351.6,1822.6,5056.3,75.4,14068.8,8505.7,9769.6,1230.8,28388.1,848.4,3555.4,7324.9,172.2,230516.3,21679.1,5955.9,18798.6,101983.7,83185.2,6739.2,70.1,1.5,21664.8,,1737,27.1,49952.5,29.5,2230604,1152.2,2527.1,5051.4,19431.3,2488.6,9666.3,63.1,5327.7,2200.9,17564.1,133418.7,619706.4,486287.1,25891.1,1950.9,11417.7,5237.4,2.3,96.9,24152.9,19087.8,2025.7,36692.9,18028.9,2409,11077.7,1202.7,0.9,12475.3,1618.4,7047.9,6079.6,11680.5,11619.8,5800279.9
109,136976.9,3590.4,75.3,422360.5,419511.2,9396.3,6278.2,1257.7,950.3,,6860.1,2549.9,688.9,517.5,27416.5,180.8,18.6,253.3,305.9,106483.7,865.2,108.6,15711.1,62238.1,46527.1,2278.5,40.7,56.3,3013,,,246,1638,19.3,1107435.6,264.9,1410.7,3720.7,4896.1,2667.3,1586.8,26.6,1012.3,1385.1,880.4,52029,411937.3,359908.2,24924.2,76.1,5.2,3053.6,,618,7657.9,11338.4,2819,28772.3,16744.2,182.2,5511.3,1936.8,23,9062.5,1081,945.3,,8242.9,4622.2,3355191
111,225328.3,102412.1,1104.4,314349,443068.6,14519.6,13349.9,1308.6,6401,1865.8,11807.2,6659.8,2204,363.2,35017.1,330.9,2795.2,3659.7,2028.2,161058.7,5093.2,971,13614.5,106448.1,92833.5,7826.1,196.5,68.5,13213.4,,392.4,,3100.1,113.7,1396908.8,510.3,6528.6,4890.8,4790,3813.8,14876,1.7,1877.4,611.8,4536.6,73411.9,418491.7,345079.9,17630.5,707.5,971,3869.9,339.6,163.4,16613.6,13274.8,815.6,20114.2,15680.5,928.4,4367.9,1112.7,11.5,8423.5,854.6,2350.9,47818.4,16453.6,3821.4,4046155.1
113,172220.6,59729.2,255.3,171315.8,348036.6,13610.3,6346,1412.2,1368.5,,11655.1,2786.1,1822.9,599.3,17316.7,67.1,103.6,1246.2,1117.1,129653.5,6114.9,222.6,13506,61681.6,48175.6,1624,58.3,852.9,5150.3,,287.8,0.2,6245.9,3.9,1052175.8,618.6,1014.6,5694.5,4766.4,1635.6,709,25.9,2575.8,446.6,4316.4,61651.3,319211.6,257560.4,18115.5,139,1083.1,1973.3,1.6,672.9,12611.2,9525.9,1698.8,17650.7,8747.4,221.3,11431.5,1383.8,11,4056.9,1031.2,1197.6,25995,7859.7,5740,2928136
115,164912.5,55790.6,442.9,259073.3,260062.8,8853.7,7750,865.7,1399.5,274.7,3852.1,1609.2,830.9,619.8,17062.7,123.9,268.8,724.5,713.1,174962.1,3554.6,329,7911.6,55889.8,47978.3,2115.3,43.4,173.1,10524.2,,64.8,,685.8,3.5,1169307.4,354.9,2119.5,2530.6,1464.6,1327.6,1149.7,64.9,1524.6,183.3,1633.7,61774,246678.9,184905.3,13191.6,56,1453,2092.4,,187.1,6811.8,6703.3,479.6,8024.1,9867.8,74.6,4052.6,948.7,35.9,1920.1,508.2,1968,10266.3,8118.7,4871.1,2846116.1
117,193863.4,104599.7,1845.7,225433.1,350257.2,11244.4,5900.6,1190.6,2327.4,43.9,6801.9,21883.4,3909.8,1159.1,36728.9,74,165.3,6321.7,17.4,140733.6,4449,189.6,9638.4,61791.3,52153,2650.5,204.1,0.2,6711.4,,155.5,21.4,2000.6,36.2,962353.2,743,1402.5,3583.9,9259.9,6692.4,738,928,1370.2,861,3247.3,92160.3,389659.4,297499.5,18492.4,86.6,18.7,2961.5,,669.1,9138.5,9280,3156.2,18781.3,18179.4,158.5,6034.3,815.9,4.1,4963.3,833.2,1344.6,9755.3,2626.5,3655.2,3135955.5
119,206094.9,41282.4,37.3,289427,262355,10793.4,8849.6,869.7,6621.4,245.8,26723.2,11861.5,605.1,485.1,44934.7,257.7,141.6,160.3,195.6,155422.3,2701.1,112.1,9968.6,42531,32562.4,1318.4,3.1,47.4,2905.7,,,0.1,12591.2,3.3,1171921.4,296.4,2777.5,2856.6,1187.5,1815.7,1299.5,0.1,1719.5,6000.2,966.7,54829.1,374086,319257.4,29878.5,35,60.7,1668.8,,608.6,15511.2,10694.7,137.9,20207.3,21105.9,74,15257.9,1508,73.2,18009.3,1324.7,525.7,1647.8,11776.8,4226.7,3265454.3
