AREA_FIPS_CODE,"2,4-D",ACEPHATE,ACETAMIPRID,ACETOCHLOR,ATRAZINE,AZOXYSTROBIN,BENTAZONE,BENZOVINDIFLUPYR,BOSCALID,BROMACIL,BROMOXYNIL,CARBARYL,CHLORANTRANILIPROLE,CHLORIMURON,CHLORPYRIFOS,CLOTHIANIDIN,CYANTRANILIPROLE,CYPRODINIL,DIAZINON,DICAMBA,DICROTOPHOS,DIFLUBENZURON,DIMETHENAMID,DIMETHENAMID & DIMETHENAMID-P,DIMETHENAMID-P,DIMETHOATE,DIMETHOMORPH,DINOTEFURAN,DIURON,ETHOPROPHOS,ETOXAZOLE,FIPRONIL,FLUOMETURON,FLUOPICOLIDE,GLYPHOSATE,HALOSULFURON,HEXAZINONE,IMAZETHAPYR,IMIDACLOPRID,LINURON,MALATHION,METALAXYL,METCONAZOLE,METHOMYL,METHOXYFENOZIDE,METOLACHLOR,METOLACHLOR & METOLACHLOR-S,METOLACHLOR-S,METRIBUZIN,MYCLOBUTANIL,ORYZALIN,PERMETHRIN,PIPERONYL BUTOXIDE,PROPAZINE,PROPICONAZOLE,PYRACLOSTROBIN,PYRIMETHANIL,SIMAZINE,SULFENTRAZONE,SULFOXAFLOR,TEBUCONAZOLE,TEBUPIRIMPHOS,TEBUTHIURON,TERBUFOS,TETRACONAZOLE,THIAMETHOXAM,THIOBENCARB,TRICLOPYR,TRIFLOXYSTROBIN,Grand Total
10001,12874.8,,,8918.9,32489.9,967.9,,16.2,,,,,,58.6,2870.1,,,,,4569.8,,,,,,,,,,,,,,10.3,74330.3,,,117.1,167.6,,,,238.9,,,5323.2,30973,25649.9,1816.9,,,867.1,,,1450,888.2,,5219.9,741.2,,621,,,1895.9,,,,,226.1,213302.8
10003,1424.7,2.4,0.9,3130.3,8243.2,301.5,,20.8,,,,,,11,976.5,,,,,440.4,,,,1674.5,1674.5,,,,,,,,,,26324.5,0.7,,25.9,53,,,,80.3,,0.2,1790.5,8292.8,6502.3,82.9,0.3,,264.8,,,524.8,303.5,,857.1,226,,189.4,,,637.7,,,,28.5,76.1,64162
10005,66354.3,,,30403.2,134910.1,3632.5,,31.4,,,,,,116.9,5557.5,,,,,6194.9,,,,,,,,,,,,,,10.3,184893.2,,,134.7,192.8,,,,462.5,,,10307.6,93907.9,83600.3,7700.9,,,997.9,,,1732.5,1317.3,,10107.6,853,,714.7,,,3671.2,,,,,437.9,648243.1
12001,12562.9,,,,557.2,342.9,25.4,8.5,114.3,258,,94.7,15.1,,1396.7,,98.7,4.2,1206.5,152.9,,92.5,,,,,,1.5,952.7,,,0.2,,,2931.9,42.4,2333.6,,183.3,,102.3,,0.2,39.7,180,,147.1,147.1,4.6,,63.6,,,,,55,2.6,4.4,,2.7,663.9,,,78.6,,43.9,,230.5,1.3,25143.6
12003,1576.3,,,26.6,146.7,119,,17,0.1,,,,25.6,,6.5,,,0,0.5,23.4,,0.9,,,,0.1,,,3.1,,,,,0,534.6,0,,,85,,,,0,11.4,72.6,,160.4,160.4,33.7,,,2,,,4.8,0.1,90.8,,,0.5,3.8,,,41.8,1,,,195.8,0.5,3345
12005,523.8,,8.9,,68.4,232.6,,10.5,,,,2.9,,,20.1,,20.3,,,8.3,,10.5,,,,,,,7.9,,,,,3.4,54.6,,6.4,,354.1,,8.9,,,,26.8,,1787.5,1787.5,33.7,,,,,,2.6,,379.7,,,1.7,8.6,,,,2.4,3,,125.2,0.1,5500.4
12007,4152.7,,,,84.5,92.6,,17,,247.3,,43.7,20.5,,1075.1,,81.7,0.3,,47.4,,75.8,,,,,,0.1,929.8,,,21.4,,,2323.7,,723.3,,141,,43.8,,0.1,12,189.5,,304.6,304.6,131.7,,62.5,,,,,111.6,0.2,,,2.5,,,,11.7,,37.2,,71.5,,11361.4
12009,4436.4,,,,79.9,56.5,,18.1,,52.5,,57.7,37.7,,242.6,,77,180.7,90.3,496.1,,23.7,,,,,,64.6,179.8,,,21.4,,,1922,3.2,1756.8,,26.8,,300.1,,,61.5,63.4,,780,780,378.4,,10.7,,,,,282.6,111.1,4.4,,0.7,40.7,,,11.4,,29.2,,4008.8,1.3,16688.1
12011,161.7,,,,55.2,,,0,,,,,18.4,,138.9,,0.1,0.4,,18.5,,,,,,,,0.1,,,,,,,155.7,,65.4,,,,52.2,,1.6,255.2,0,,0.8,0.8,0.3,,,,,,,4.5,0.2,,,,,,,,,0,,149.3,,1079.3
12013,718.4,214.6,1.8,2688.2,421.4,145.6,113.8,38.1,,,,4.1,73.4,,525.1,,4.1,,,1535.6,2401.6,43.8,,1552.7,1552.7,0.3,,,1105.6,,,,593.3,3.4,8456.7,,14.4,,371.9,,12.7,,1.4,1.8,31.2,85.4,521.5,436.3,0.1,,,,,,4.9,175,1.6,,,2.5,811.9,,,145.7,33,65.3,,280.3,8.4,25199.6
12015,1316.9,,,,112.4,134.2,,26.4,,279.8,,94.7,27.9,,1190.4,,231.2,13.1,415.9,119.4,,125.1,,,,,,4.7,1034.6,,,21.4,,,6856,14.6,422.8,,122.1,,106.6,,,4.5,232.9,,461.4,461.4,240,,63.6,,,,,344.5,8,4.4,,2.9,187.1,,,16.1,,54.9,,964.7,1.3,15717.9
12017,4751.4,,,,135.1,74.5,,12.8,,253.6,,93.9,96.6,,1220.1,,114.8,127.2,,54.7,,84,,,,,,45.4,936.1,,,21.4,,,2472.4,,835.2,,148.5,,312.9,,1.6,298.4,190,,545.3,545.3,236.5,,62.5,,,,,227.8,78.2,4.4,,2.7,,,,11.4,,53.7,,82.5,1.3,14132.2
12019,1945.1,,,,135.1,0.9,,12.8,,,,,96.6,,140.7,,18.2,127.2,,24.4,,0.8,,,,,,45.4,,,,,,,752.8,,371.8,,,,224.8,,1.6,298.4,14.4,,256.2,256.2,105,,,2,,,,103.3,78.2,,,,,,,11.4,,10.9,,36.7,,5070.9
12021,2541.2,,,,74.7,146,,43.2,,279.8,,94.7,81.2,,1352.9,,255.2,180.7,417.2,259.2,,125.1,,,,,,64.6,1034.6,,,21.4,,,7136.4,14.7,918,,122.1,,386.5,,1.6,316.6,251.9,,780,780,378.4,,63.6,,,,,479.3,111.1,4.4,,2.9,187.7,,,2.8,,69.3,,2094.7,1.3,21075
12023,8262.6,10,0.2,630.9,1126.6,136.1,220.9,50.7,1.6,,,1.4,30.7,,172.8,,3,0.6,6.3,97.7,9.5,48.9,,,,1.2,,,18.3,,,,,0.4,1512.9,0.2,,,99.4,,1.3,,0.4,11.3,7,,264.7,264.7,0,,2,2,,,12.7,96.4,0.1,,0.9,1.6,693.9,,,111.2,3.3,1.3,,1058,1.6,14977.3
12027,19724.1,,,,55.2,549,,43.2,,3230.5,,551.8,81.2,,13619.7,,2563.3,180.7,495.2,1962.7,,1440.7,,,,,,64.6,12137.4,,,,,,68611.6,17.4,6949.8,,1356.2,,815,,1.6,316.6,2194.9,,343.4,343.4,149.2,,750.7,,,,,2885.3,111.1,2.3,,32.3,222.8,,,,,586.7,,15858.9,0.7,158249.2
12029,3216.3,1.5,7.1,132,454.9,172.3,50,36.9,0.6,,,0.1,39.7,,33.5,,16.4,0.2,2.3,31.6,,18.8,,,,0.5,,,,,,,,0.2,901.4,0.1,,,19.5,,0.1,,0.2,23.7,93.4,,55.5,55.5,0,,0.1,,,,8.6,21.8,0.1,,,,155.2,,,109.8,,2.4,,415.1,,6077.4
12031,2033.6,0.6,8.9,49.2,231.3,137.8,18.6,14.8,0.4,,,0.1,19.5,,41,,20.4,0.2,1.8,19.4,,14.4,,,,0.2,,,13.7,,,,,0,324.6,0.1,,,98.4,,0.1,,0.1,23.7,28.8,,162.1,162.1,33.7,,0.1,,,,12.6,8.2,90.8,,,2,68.6,,,90.3,4.2,3.1,,254.1,2.1,3995.7
12033,793.6,376.7,0.8,3714.4,375.4,281.9,252.2,80.7,2.7,,,11.3,198.6,,962.9,,1.8,1.6,,1954.8,3106.1,94.7,,1987.4,1987.4,0.3,,,1431.5,,,,759.5,0.1,11743.4,,10.1,,564.4,,34.7,,1.4,69.4,63.1,150.9,880.4,729.4,0.1,,,2.4,,,33,294.1,1.6,,,6.8,1807.2,,,370.9,74.8,84.8,,197.1,18.6,35515
