County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),00000,13.9,13.9,14,N/A , N/A , N/A,51518,falling,-1.9,-2.3,-1.4
"Union County, Florida(6)",12125,56.5,41.8,75,N/A ,1,1,10,rising,14.5,5.6,37.1
"Emmet County, Iowa(7)",19063,33.6,19.8,54,N/A ,1,56,4,*,*,*,*
"Floyd County, Iowa(7)",19067,29.2,19.3,42.8,N/A ,1,44,6,stable,2.6,-0.6,6.3
"Lawrence County, Arkansas(6)",05075,27.7,17.9,41.1,N/A ,1,28,6,rising,6.8,0.9,15.9
"Vernon County, Wisconsin(6)",55123,27.7,20.5,36.6,N/A ,1,23,11,stable,1.8,-2.6,7
"Torrance County, New Mexico(7)",35057,27.2,17.4,40.9,N/A ,1,8,5,*,*,*,*
"Adair County, Iowa(7)",19001,26.9,14.7,46.9,N/A ,1,65,3,*,*,*,*
"Davis County, Iowa(7)",19051,26.5,15,44.3,N/A ,1,64,3,*,*,*,*
"Carroll County, Illinois(7)",17015,26.3,16.4,40.5,N/A ,1,56,5,*,*,*,*
"Pocahontas County, West Virginia(6)",54075,26.3,13.6,46.7,N/A ,1,35,3,*,*,*,*
"Tama County, Iowa(7)",19171,26.1,17.1,38.4,N/A ,1,54,6,stable,0.9,-1.4,3.4
"Pike County, Illinois(7)",17149,26,17,38.4,N/A ,1,51,6,rising,16.5,6.8,44.2
"Franklin County, Iowa(7)",19069,25.7,14.2,43.3,N/A ,1,64,3,*,*,*,*
"Mason County, West Virginia(6)",54053,25.6,19,34.3,N/A ,1,19,10,stable,3.6,-0.1,8.5
"Boundary County, Idaho(7)",16021,25.3,14.5,41.4,N/A ,1,23,4,*,*,*,*
"Gulf County, Florida(6)",12045,25.2,15.4,39.3,N/A ,2,60,5,stable,2.2,-2.8,8.3
"Livingston County, Kentucky(7)",21139,24.9,13.9,42.3,N/A ,1,70,3,*,*,*,*
"Franklin County, Texas(7)",48159,24.8,14.4,40.4,N/A ,1,135,4,*,*,*,*
"Carroll County, Kentucky(7)",21041,24.6,14.1,40.4,N/A ,1,70,3,*,*,*,*
"Palo Alto County, Iowa(7)",19147,24.4,14.1,40.6,N/A ,1,65,3,*,*,*,*
"Summit County, Utah(7)",49043,24.3,17.7,32.5,N/A ,1,6,10,*,*,*,*
"Union County, Iowa(7)",19175,24.1,14.3,38.5,N/A ,1,64,4,*,*,*,*
"Pickens County, Georgia(7)",13227,24,17.4,32.5,N/A ,1,61,10,rising,3.2,0.4,6.8
"Morton County, North Dakota(6)",38059,23.8,17.2,32.2,N/A ,1,5,9,stable,2.7,-0.5,6.8
"Butler County, Kentucky(7)",21031,23.7,13.7,38.4,N/A ,1,69,4,stable,0,-3.4,3.6
"McCormick County, South Carolina(6)",45065,23.7,12.7,42.3,N/A ,1,35,4,*,*,*,*
