County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),00000,18.6,18.5,18.7,N/A , N/A , N/A,70394,falling,-1.3,-1.5,-0.9
"Union County, Florida(6)",12125,48.5,35,65.9,N/A ,1,3,9,stable,0,-4.4,4.9
"Butler County, Nebraska(6)",31023,47.9,31.2,71.4,N/A ,1,5,6,*,*,*,*
"Fulton County, Arkansas(6)",05049,41.7,27.4,61,N/A ,1,20,7,*,*,*,*
"Moody County, South Dakota(6)",46101,40.2,22.1,67.7,N/A ,1,11,3,*,*,*,*
"Nicholas County, Kentucky(7)",21181,36.7,20.5,61.1,N/A ,1,86,3,*,*,*,*
"Mitchell County, Iowa(7)",19131,34.7,21.5,53.5,N/A ,1,68,5,stable,0.8,-2.6,4.4
"Grant County, South Dakota(6)",46051,34.6,19,58.5,N/A ,1,13,3,*,*,*,*
"Mercer County, Illinois(7)",17131,32.9,22.6,46.8,N/A ,1,62,7,stable,3.3,-0.1,7.4
"Refugio County, Texas(7)",48391,32.1,19.3,52.2,N/A ,1,134,4,*,*,*,*
"Glenn County, California(7)",06021,31.6,23.4,41.8,N/A ,1,26,10,stable,1.2,-2.3,5.3
"Cuming County, Nebraska(6)",31039,30.8,17.2,51.2,N/A ,1,22,4,stable,-1.2,-8.2,6
"Langlade County, Wisconsin(6)",55067,30.7,21.6,42.9,N/A ,1,57,9,stable,1,-3,5.4
"Washington County, Idaho(7)",16087,30.5,18.5,48.3,N/A ,1,24,5,stable,-0.4,-4.4,3.9
"Washington County, Iowa(7)",19183,30.2,21.5,41.6,N/A ,1,63,9,stable,1.2,-0.5,3.3
"Archer County, Texas(7)",48009,30.2,16.8,50.6,N/A ,1,141,3,*,*,*,*
"Monroe County, Iowa(7)",19135,30.1,17.4,49.8,N/A ,1,73,3,*,*,*,*
"Marquette County, Wisconsin(6)",55077,30,19.8,44.1,N/A ,1,60,7,stable,3.3,-1.9,9.5
"Decatur County, Iowa(7)",19053,29.9,16.4,51.2,N/A ,1,73,3,*,*,*,*
"Greene County, Iowa(7)",19073,29.9,17.1,49.3,N/A ,1,73,4,*,*,*,*
"Martin County, Kentucky(7)",21159,29.9,18.6,46.1,N/A ,1,83,5,*,*,*,*
"DeWitt County, Texas(7)",48123,29.8,21,41.4,N/A ,1,97,8,stable,1.9,-2.4,6.8
"Monroe County, Missouri(6)",29137,29.8,16.9,49.6,N/A ,1,78,4,stable,4.8,-1.5,13.4
"Nantucket County, Massachusetts(7)",25019,29.3,17.4,46.6,N/A ,1,14,4,*,*,*,*
"Park County, Colorado(6)",08093,29.3,19,43.5,N/A ,1,20,7,stable,6.2,-1.8,19.3
"Montour County, Pennsylvania(6)",42093,29.2,20.6,40.7,N/A ,1,59,8,stable,0.3,-5.2,6.3
"Hickman County, Tennessee(6)",47081,29.1,21.2,39.2,N/A ,1,51,9,rising,24.4,4.2,42.8
"Houston County, Tennessee(6)",47083,29,16.9,47.8,N/A ,1,83,4,*,*,*,*
"Howard County, Iowa(7)",19089,28.7,17.3,45.9,N/A ,1,72,4,*,*,*,*
"Franklin County, Iowa(7)",19069,28.6,17.8,44.7,N/A ,1,72,5,stable,2.2,-0.4,5.4
"Clayton County, Iowa(7)",19043,28.5,20,40,N/A ,1,66,8,rising,2.3,0.8,4.3
"Owyhee County, Idaho(7)",16073,28,16.9,44.2,N/A ,1,26,4,*,*,*,*
"O'Brien County, Iowa(7)",19141,28,18.1,41.9,N/A ,1,71,6,stable,0.2,-3.1,3.4
"Bryan County, Georgia(7)",13029,28,20.5,37.1,N/A ,1,68,10,*,*,*,*
"Grays Harbor County, Washington(7)",53027,27.8,23.3,33,N/A ,1,8,30,rising,1.4,0.3,2.6
"Clay County, Iowa(7)",19041,27.7,18.8,40,N/A ,1,70,7,stable,-0.5,-3.7,2.9
"Grant County, Kentucky(7)",21081,27.7,19.3,38.5,N/A ,1,79,7,stable,-1.7,-4.2,0.9
"Adams County, Wisconsin(6)",55001,27.6,18.8,39.7,N/A ,1,62,9,rising,23.8,6.1,41.5
"Greene County, Illinois(7)",17061,27.5,17.6,41.6,N/A ,1,79,5,stable,2,-3.4,8.4
"Barron County, Wisconsin(6)",55005,27.5,22.1,33.9,N/A ,1,45,19,rising,4,0.1,9.5
"Humphreys County, Tennessee(6)",47085,27.4,18.7,39.2,N/A ,1,73,7,*,*,*,*
"Emmet County, Iowa(7)",19063,27,16.8,42.8,N/A ,1,72,4,*,*,*,*
"Logan County, Kentucky(7)",21141,27,19.2,36.9,N/A ,1,76,9,stable,2.5,-0.3,5.8
"New Madrid County, Missouri(6)",29143,27,18,39.2,N/A ,1,73,6,stable,3.4,-0.6,8.5
"Gulf County, Florida(6)",12045,26.9,17.9,39.6,N/A ,1,60,6,*,*,*,*
"Douglas County, Wisconsin(6)",55031,26.9,21.1,34,N/A ,1,49,16,stable,4.6,-0.2,11
"Okanogan County, Washington(6)",53047,26.8,20.9,34,N/A ,1,18,16,stable,2.9,-1,7.6
"Knox County, Kentucky(7)",21121,26.7,19.8,35.4,N/A ,1,69,10,stable,1.7,-1.5,5.5
"Waldo County, Maine(6)",23027,26.7,20.8,34,N/A ,1,11,16,stable,0.4,-2.7,4
"Benton County, Iowa(7)",19011,26.3,19.1,35.5,N/A ,1,67,9,stable,-0.3,-2.1,1.6
"Muscatine County, Iowa(7)",19139,26.2,20.3,33.5,N/A ,2,62,14,stable,0.4,-1.3,2.1
"Kalkaska County, Michigan(6)",26079,26.2,17.2,38.7,N/A ,1,70,6,stable,1.9,-2.7,7.5
"Polk County, Texas(7)",48373,26.2,20.4,33.3,N/A ,1,87,16,stable,-0.1,-2.7,2.5
"Hughes County, South Dakota(6)",46065,26.2,16.8,39,N/A ,1,13,5,stable,2.3,-1.3,6.7
"Lawrence County, Arkansas(6)",05075,26.2,17.2,38.6,N/A ,1,46,6,stable,1,-3.1,5.2
"Carroll County, Iowa(7)",19027,26.1,17.6,37.5,N/A ,1,71,7,stable,-0.4,-2.7,1.9
"Hart County, Kentucky(7)",21099,26.1,17.2,38.1,N/A ,1,84,6,stable,1.8,-2.4,6.6
"Sanders County, Montana(6)",30089,26.1,17.5,39.3,N/A ,1,14,7,stable,-1.2,-6.3,4.8
"Wright County, Missouri(6)",29229,26.1,17.7,37.4,N/A ,1,73,7,stable,3.1,-0.8,7.7
"McLean County, Kentucky(7)",21149,26,15.3,42.5,N/A ,1,87,4,*,*,*,*
"Union County, Ohio(6)",39159,25.9,20.3,32.6,N/A ,1,67,15,stable,1.7,-1.7,6
"Bath County, Kentucky(7)",21011,25.9,15.6,40.8,N/A ,1,87,4,stable,0.6,-2.9,4.7
"Madison County, Ohio(6)",39097,25.9,20,33,N/A ,1,69,14,stable,2,-1.1,5.8
