County,FIPS,Cancer Incidence Rate Per 100k,Breast Cancer Incidence Rate Per 100k,Leukemia Incidence Rate Per 100k,Lung Cancer Incidence Rate Per 100k,Non-Hodgkin Lymphoma Incidence Rate Per 100k,Prostate Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum
"Union County, Florida(6)",12125,1237.4,250.6,56.5,182.9,48.5,295.7,253.1,7146.599999999999,241.5
"Palo Alto County, Iowa(7)",19147,658.1,239.7,33.6,141.9,47.9,258.5,5897.5,269873.7,4271.9
"Treasure County, Montana(6)",30103,652.2,213.0,29.2,132.3,41.7,229.1,839.8000000000001,76881.90000000001,488.30000000000007
"Polk County, Texas(7)",48373,633.6,209.5,27.7,131.5,40.2,226.7,1.2,1694.6000000000004,1.6
"Floyd County, Kentucky(7)",21071,616.8,204.6,27.7,127.7,36.7,225.7,4.199999999999999,812.9,3.8
"Logan County, Nebraska(6)",31113,609.8,198.3,27.2,126.4,34.7,219.4,604.4999999999999,39672.1,420.4
"Powell County, Kentucky(7)",21197,597.4,196.9,26.5,125.5,32.9,212.1,41.900000000000006,9616.700000000003,294.49999999999994
"Blaine County, Nebraska(6)",31009,595.9,196.2,26.3,123.6,32.1,207.7,88.50000000000001,3928.2000000000007,36.5
"Golden Valley County, Montana(6)",30037,589.6,194.9,26.3,123.6,31.6,206.3,544.1,34871.00000000001,165.6
"Lincoln County, Kentucky(7)",21137,584.7,187.3,26.1,123.4,30.8,205.9,299.09999999999997,29360.500000000004,491.3
"Logan County, West Virginia(6)",54045,583.8,186.3,26.0,121.7,30.7,204.9,0.5,286.5,0.4
"Mercer County, Kentucky(7)",21167,581.5,183.5,25.6,119.7,30.2,199.0,227.7,22779.100000000002,363.80000000000007
"Perry County, Kentucky(7)",21193,578.1,183.1,25.3,119.2,30.2,197.1,22.5,1279.5000000000002,6.700000000000001
"Fleming County, Kentucky(7)",21069,576.0,182.8,25.2,116.7,30.1,197.0,266.79999999999995,22394.8,457.70000000000005
"Grant County, Kentucky(7)",21081,575.7,181.6,24.9,116.7,30.0,195.2,191.79999999999998,3788.2,35.1
"Pickens County, Georgia(7)",13227,575.3,181.5,24.8,116.4,29.9,192.4,15.5,1320.7000000000005,4.699999999999999
