County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),00000,127,126.8,127.2,N/A , N/A , N/A,249750,rising,0.5,0.3,0.7
"Webster County, Georgia(7)",13307,250.6,153.7,393.4,N/A ,1,143,5,*,*,*,*
"Aurora County, South Dakota(6)",46003,239.7,139.6,385.8,N/A ,1,32,4,rising,28.6,1.9,71.9
"Pickens County, Alabama(6)",01107,213,176.3,255.4,N/A ,1,5,27,rising,4.6,1.9,7.8
"Nantucket County, Massachusetts(7)",25019,209.5,161.2,268.1,N/A ,1,2,14,stable,1.1,-1.1,3.5
"Hitchcock County, Nebraska(6)",31087,204.6,114.7,341.2,N/A ,1,60,4,*,*,*,*
"Tishomingo County, Mississippi(6)",28141,198.3,164.1,238,N/A ,1,14,27,rising,7.6,4.9,11.2
"Mountrail County, North Dakota(6)",38061,197,142.2,265.6,N/A ,1,22,9,stable,3.2,-0.4,8.1
"Fallon County, Montana(6)",30025,196.9,110.1,326.8,N/A ,1,37,3,*,*,*,*
"Pleasants County, West Virginia(6)",54073,196.2,139.9,269.2,N/A ,1,32,9,rising,5.4,0.3,12.5
"Union County, Florida(6)",12125,194.9,144.7,256.7,N/A ,1,40,11,stable,0.8,-2.2,4.2
"Hood River County, Oregon(6)",41027,187.3,155.6,223.8,N/A ,1,7,26,stable,2.5,-1.6,7.2
"Towns County, Georgia(7)",13281,186.3,141.2,242.7,N/A ,1,103,18,stable,2.9,-0.2,6.5
"Warren County, Georgia(7)",13301,184.1,123.8,265.6,N/A ,1,136,8,*,*,*,*
"Price County, Wisconsin(6)",55099,183.5,143.4,232.5,N/A ,1,52,19,stable,2.9,-1.1,7.5
"Stanley County, South Dakota(6)",46117,183.1,99.6,309.1,N/A ,1,39,3,*,*,*,*
"Johnson County, Nebraska(6)",31097,182.8,108.3,289.2,N/A ,1,60,5,rising,18.2,3.1,54.5
"Calhoun County, Georgia(7)",13037,181.6,117.6,269.5,N/A ,1,146,6,stable,8,-1,45.1
"Shelby County, Missouri(6)",29205,181.5,121,262.1,N/A ,1,101,7,stable,4,-0.3,9.1
"Burnett County, Wisconsin(6)",55013,180.9,145,224.4,N/A ,1,50,23,stable,2.3,-1.5,6.8
"McCook County, South Dakota(6)",46087,178.9,120.4,257.7,N/A ,1,31,7,stable,6.8,-0.5,34.6
"Clay County, Nebraska(6)",31035,176.6,122,249.3,N/A ,1,55,8,rising,5,1.2,10.1
"Calhoun County, Illinois(7)",17013,176.4,121,254.1,N/A ,1,97,7,stable,3.2,-1.8,9.6
"Harrison County, Iowa(7)",19085,176.2,138.3,222.1,N/A ,1,70,17,rising,1.5,0.2,2.9
"McLean County, North Dakota(6)",38055,175.4,125,239.4,N/A ,1,26,10,stable,1.7,-3.9,7.9
"Keokuk County, Iowa(7)",19107,174.9,128.3,233.3,N/A ,1,85,11,stable,1.8,-0.4,4.3
"Pocahontas County, Iowa(7)",19151,174.5,119.2,247.9,N/A ,1,92,8,stable,0.6,-1.2,2.5
"Stillwater County, Montana(6)",30095,174.4,128.9,232.3,N/A ,1,28,12,stable,1.4,-2.2,5.7
"Lafayette County, Wisconsin(6)",55065,174,137.4,217.7,N/A ,1,58,18,rising,3.4,0.3,7
"Kingsbury County, South Dakota(6)",46077,171.9,114.3,252.2,N/A ,1,32,7,stable,2.1,-3.1,8.8
"Howard County, Iowa(7)",19089,170.7,120.9,234.1,N/A ,1,92,10,stable,0.1,-2.3,2.4
"Brule County, South Dakota(6)",46015,170.1,108.5,254.8,N/A ,1,35,5,*,*,*,*
"Humphreys County, Mississippi(6)",28053,169.8,122.4,230.3,N/A ,1,72,9,stable,3.2,-0.9,8.3
"Forest County, Wisconsin(6)",55041,169.4,122.3,229.8,N/A ,1,69,11,stable,1.9,-4.7,9.5
"Pierce County, North Dakota(6)",38069,169.3,100.6,269.7,N/A ,1,31,5,*,*,*,*
"Tyrrell County, North Carolina(6)",37177,168,98.1,272.2,N/A ,1,100,4,stable,2.8,-2.5,9.3
"Grenada County, Mississippi(6)",28043,166.7,136.8,201.5,N/A ,1,44,24,stable,1.7,-1.1,4.7
"Green Lake County, Wisconsin(6)",55047,166.6,135.2,203.7,N/A ,1,56,23,stable,2.6,-0.4,6.1
"Monroe County, Mississippi(6)",28095,165.8,142.3,192.3,N/A ,1,31,40,rising,4.1,1.4,7.6
"Madison County, Mississippi(6)",28089,164.7,150.3,180.1,N/A ,1,15,102,rising,4.6,1.6,11.2
