County,FIPS,Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum,Adjuvant Sum
"Union County, Florida(6)",12125,1237.4,253.1,7146.599999999999,241.5,0.0
"Palo Alto County, Iowa(7)",19147,658.1,5897.5,269873.7,4271.9,0.0
"Treasure County, Montana(6)",30103,652.2,839.8000000000001,76881.90000000001,488.30000000000007,0.0
"Polk County, Texas(7)",48373,633.6,1.2,1694.6000000000004,1.6,0.0
"Floyd County, Kentucky(7)",21071,616.8,4.199999999999999,812.9,3.8,0.0
"Logan County, Nebraska(6)",31113,609.8,604.4999999999999,39672.1,420.4,0.0
"Powell County, Kentucky(7)",21197,597.4,41.900000000000006,9616.700000000003,294.49999999999994,0.0
"Blaine County, Nebraska(6)",31009,595.9,88.50000000000001,3928.2000000000007,36.5,0.0
"Golden Valley County, Montana(6)",30037,589.6,544.1,34871.00000000001,165.6,0.0
"Lincoln County, Kentucky(7)",21137,584.7,299.09999999999997,29360.500000000004,491.3,0.0
"Logan County, West Virginia(6)",54045,583.8,0.5,286.5,0.4,0.0
"Mercer County, Kentucky(7)",21167,581.5,227.7,22779.100000000002,363.80000000000007,0.0
"Perry County, Kentucky(7)",21193,578.1,22.5,1279.5000000000002,6.700000000000001,0.0
"Fleming County, Kentucky(7)",21069,576.0,266.79999999999995,22394.8,457.70000000000005,0.0
"Grant County, Kentucky(7)",21081,575.7,191.79999999999998,3788.2,35.1,0.0
"Pickens County, Georgia(7)",13227,575.3,15.5,1320.7000000000005,4.699999999999999,0.0
"Adams County, Wisconsin(6)",55001,575.1,3617.9999999999995,87732.60000000002,3429.6000000000004,0.0
"Owsley County, Kentucky(7)",21189,574.9,24.599999999999998,928.8000000000001,4.8999999999999995,0.0
"Bath County, Kentucky(7)",21011,574.8,120.69999999999999,14284.999999999998,264.09999999999997,0.0
"Lee County, Kentucky(7)",21129,574.7,21.700000000000003,1037.6000000000001,15.299999999999997,0.0
"Lee County, Georgia(7)",13177,573.6,15784.6,79725.09999999999,5655.499999999998,0.0
"Monroe County, Kentucky(7)",21171,572.4,610.6,34454.899999999994,433.9,0.0
"Livingston County, Kentucky(7)",21139,568.9,706.0999999999999,104225.7,1691.3000000000002,0.0
"Scott County, Illinois(7)",17171,568.6,3793.1000000000004,150070.4,1225.1000000000001,0.0
"Taylor County, Kentucky(7)",21217,568.1,419.19999999999993,40488.6,546.1,0.0
"Cass County, Iowa(7)",19029,567.8,3057.8,309589.5999999999,2936.7,0.0
"Menard County, Illinois(7)",17129,567.2,1113.4,200427.90000000002,2680.1,0.0
"Clay County, Kentucky(7)",21051,566.4,207.09999999999997,2538.7000000000003,59.80000000000001,0.0
"McDuffie County, Georgia(7)",13189,566.3,471.4,3723.0999999999995,126.19999999999999,0.0
"Pleasants County, West Virginia(6)",54073,566.2,103.10000000000001,413.29999999999995,9.399999999999999,0.0
"Knox County, Kentucky(7)",21121,566.2,27.0,2497.5000000000005,21.299999999999997,0.0
"Lawrence County, Kentucky(7)",21127,565.7,18.9,1160.5000000000002,13.5,0.0
"Marion County, Illinois(7)",17121,565.4,1214.3,220311.4,3165.7,0.0
"Hitchcock County, Nebraska(6)",31087,563.9,4320.900000000001,315298.9,2044.7999999999997,0.0
"Jefferson County, New York(7)",36045,562.7,2106.1,46950.59999999999,621.5,0.0
"Trousdale County, Tennessee(6)",47169,561.5,29.1,3902.5999999999995,16.7,0.0
